time,Row,column,strain,anabasine.conc,anabasine,time,sample,a620,a620.a,a620.b
2,F,4,twelve.six,50,50 ppm,0,F4,0.064,,
2,G,4,control,5,5 ppm,0,G4,0.067,,
2,H,4,control,50,50 ppm,0,H4,0.063,,
2,A,5,control,0,0 ppm,0,A5,0.063,,
2,B,5,control,0.5,0.5 ppm,0,B5,0.067,,
2,C,5,twelve.six,0,0 ppm,0,C5,0.069,,
2,D,5,twelve.six,0.5,0.5 ppm,0,D5,0.066,,
2,E,5,twelve.six,5,5 ppm,0,E5,0.069,,
2,F,5,twelve.six,50,50 ppm,0,F5,0.067,,
2,G,5,control,5,5 ppm,0,G5,0.066,,
2,H,5,control,50,50 ppm,0,H5,0.061,,
2,A,6,control,0,0 ppm,0,A6,0.062,,
2,B,6,control,0.5,0.5 ppm,0,B6,0.067,,
2,C,6,twelve.six,0,0 ppm,0,C6,0.067,,
2,D,6,twelve.six,0.5,0.5 ppm,0,D6,0.07,,
2,E,6,twelve.six,5,5 ppm,0,E6,0.067,,
2,F,6,twelve.six,50,50 ppm,0,F6,0.069,,
2,G,6,control,5,5 ppm,0,G6,0.065,,
2,H,6,control,50,50 ppm,0,H6,0.061,,
2,A,7,control,0,0 ppm,0,A7,0.062,,
2,B,7,control,0.5,0.5 ppm,0,B7,0.069,,
2,C,7,twelve.six,0,0 ppm,0,C7,0.067,,
2,D,7,twelve.six,0.5,0.5 ppm,0,D7,0.072,,
2,E,7,twelve.six,5,5 ppm,0,E7,0.07,,
2,F,7,twelve.six,50,50 ppm,0,F7,0.065,,
2,G,7,control,5,5 ppm,0,G7,0.065,,
2,H,7,control,50,50 ppm,0,H7,0.06,,
2,A,8,control,0,0 ppm,0,A8,0.065,,
2,B,8,control,0.5,0.5 ppm,0,B8,0.07,,
2,C,8,twelve.six,0,0 ppm,0,C8,0.068,,
2,D,8,twelve.six,0.5,0.5 ppm,0,D8,0.068,,
2,E,8,twelve.six,5,5 ppm,0,E8,0.072,,
2,F,8,twelve.six,50,50 ppm,0,F8,0.07,,
2,G,8,control,5,5 ppm,0,G8,0.066,,
2,H,8,control,50,50 ppm,0,H8,0.065,,
2,A,9,control,0,0 ppm,0,A9,0.062,,
2,B,9,control,0.5,0.5 ppm,0,B9,0.071,,
2,C,9,twelve.six,0,0 ppm,0,C9,0.07,,
2,D,9,twelve.six,0.5,0.5 ppm,0,D9,0.068,,
2,E,9,twelve.six,5,5 ppm,0,E9,0.068,,
2,F,9,twelve.six,50,50 ppm,0,F9,0.065,,
2,G,9,control,5,5 ppm,0,G9,0.066,,
